CÓDIGO;REFERÊNCIA;DESCRIÇÃO;NCM;UN;REFERÊNCIAS;EST.;APL.;RES.;VENDA;MÉDIO;VENDA;CUSTO;SETOR;RUA;BLOCO;ANDAR
91912;90416346;CONJUNTO;84314929;PC;90416346;0;0;0;12146,95;6973;0;0;;;;
91950;90487245;CORREIA V;40103100;PC;90487245;0;0;0;398,95;192,3;0;0;;;;
96872;SBA140517050;FILTRO DE OLEO MOTOR;84212300;PC;SBA140517050;12;0;0;96,86;60,0325;1162,32;720,39;22G04;;;
91179;51602138;MANGUEIRA DE BORRACHA AR CO;40093210;PC;51602138;0;0;0;836,43;480,17;0;0;;;;
91901;90393087;PEDAL;84314929;PC;90393087;0;0;0;2307,71;1377,74;0;0;;;;
91902;90393088;PEDAL;84314929;PC;90393088;0;0;0;2310,01;1379,11;0;0;;;;
105998;ALT-10.00.58;ENGATE MECANICO;84306990;UN;10.00.58;0;0;0;18422,4;11934,57;0;0;;;;
105999;ALT-10.01.40;GUINCHO BAG;84306990;UN;10.01.40;0;0;0;19741,6;12852,61;0;0;;;;
97855;81052R61BR;AKCELA MULTI-TRACTION 20L ( 10W30 );27101932;UN;81052R61BR;19;3;4;882,48;602,920824;16767,12;11455,5;LUB-02;;;
106670;81052K13BR;AKCELA MULTI-TRACTION (6X4L) 10W30;27101932;UN;81052K13BR;16;0;4;181,44;124,027169;2903,04;1984,43;CHÃO 11;;;
106182;71939R61BR;FLEETPRO ENGINE OIL CI-4 15W-40;27101932;UN;71939R61BR;13;0;0;514,33;335,575053;6686,29;4362,48;LUB-14;;;
100196;81154R61BR;FLEETPRO GEAR EP 85W-140 (1X20L);27101932;UN;81154R61BR;6;0;0;647,77;441,942431;3886,62;2651,65;LUB-09;;;
106697;81157R61BR;FLEETPRO HYDRAULIC HX 68;27101932;UN;81157R61BR;8;0;0;428,98;277,377083;3431,84;2219,02;LUB-01;;;
106696;81153R61BR;FLEETPRO TRANSMISSION THF ( 20w30 );27101932;UN;81153R61BR;3;0;0;586,63;394,6925;1759,89;1184,08;LUB-22;;;
89551;76065EY9BR;GRAXA AKCELA MOLYGREASE(1Kg);27101932;UN;76065EY9BR,12432,15205;0;0;2;94,12;52,414212;0;0;CHAO05;;;
106096;ALT-1539;GRAXA SPRAY BRANCA 300 ML;27101229;UN;36395,11080300ML;0;0;0;32,47;18,15;0;0;;;;
